 BeamLabel,Angle,Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
qpd9,45,0,-123.94,-249.05,-15.344,-142.81,-271.45,-41.267,-172.26,-304.43,-77.771,-212.29,12.017,-124.85,-262.9,-42.119,-182.52,-324.09,-106.83,-250.76,-35.856,-182.13,-329.58,-118.2,-268,-58.98,-211.13,-4.4581,-158.96,-314.64,-111.49,-269.52,-68.725,-229.11,-30.661,-193.39,2.702
dftsa0,-45,0,-70.183,-140.37,149.45,79.27,9.0873,-61.095,-131.28,158.54,88.357,18.175,-52.008,0,-145.1,69.803,-75.295,139.61,-5.4916,-150.59,64.312,-80.786,134.12,-10.983,-156.08,0,167.18,-25.65,141.53,-51.3,115.88,-76.95,90.226,-102.6,64.576,-128.25,38.926
dftsa1,-35,0,-35.633,-71.265,-106.9,-142.53,-178.16,146.2,110.57,74.939,39.307,3.6739,-31.959,0,-117.7,124.6,6.9063,-110.79,131.51,13.813,-103.89,138.42,20.719,-96.979,145.32,0,-177.71,4.5832,-173.13,9.1663,-168.54,13.75,-163.96,18.333,-159.38,22.916,-154.79
dftsa2,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.721,-173.44,99.836,13.115,-73.606,-160.33,112.95,26.23,-60.491,-147.21,126.07,0,-157.19,45.615,-111.58,91.231,-65.962,136.85,-20.346,-177.54,25.269,-131.92,70.884
dftsa3,-15,0,35.633,71.265,106.9,142.53,178.16,-146.2,-110.57,-74.939,-39.307,-3.6739,31.959,0,-53.11,-106.22,-159.33,147.56,94.452,41.342,-11.768,-64.877,-117.99,-171.1,135.79,0,-131.9,96.2,-35.7,-167.6,60.5,-71.4,156.7,24.8,-107.1,121,-10.9
dftsa4,-5,0,70.183,140.37,-149.45,-79.27,-9.0873,61.095,131.28,-158.54,-88.357,-18.175,52.008,0,-17.884,-35.769,-53.653,-71.537,-89.422,-107.31,-125.19,-143.07,-160.96,-178.84,163.27,0,-102.6,154.8,52.2,-50.4,-153,104.4,1.8,-100.8,156.6,54,-48.6
dftsa5,5,0,102.6,-154.8,-52.2,50.4,153,-104.4,-1.8,100.8,-156.6,-54,48.6,0,17.884,35.769,53.653,71.537,89.422,107.31,125.19,143.07,160.96,178.84,-163.27,0,-70.183,-140.37,149.45,79.27,9.0873,-61.095,-131.28,158.54,88.357,18.175,-52.008
dftsa6,15,0,131.9,-96.2,35.7,167.6,-60.5,71.4,-156.7,-24.8,107.1,-121,10.9,0,53.11,106.22,159.33,-147.56,-94.452,-41.342,11.768,64.877,117.99,171.1,-135.79,0,-35.633,-71.265,-106.9,-142.53,-178.16,146.2,110.57,74.939,39.307,3.6739,-31.959
dftsa7,25,0,157.19,-45.615,111.58,-91.231,65.962,-136.85,20.346,177.54,-25.269,131.92,-70.884,0,86.721,173.44,-99.836,-13.115,73.606,160.33,-112.95,-26.23,60.491,147.21,-126.07,0,0,0,0,0,0,0,0,0,0,0,0
dftsa8,35,0,177.71,-4.5832,173.13,-9.1663,168.54,-13.75,163.96,-18.333,159.38,-22.916,154.79,0,117.7,-124.6,-6.9063,110.79,-131.51,-13.813,103.89,-138.42,-20.719,96.979,-145.32,0,35.633,71.265,106.9,142.53,178.16,-146.2,-110.57,-74.939,-39.307,-3.6739,31.959
dftsa9,45,0,-167.18,25.65,-141.53,51.3,-115.88,76.95,-90.226,102.6,-64.576,128.25,-38.926,0,145.1,-69.803,75.295,-139.61,5.4916,150.59,-64.312,80.786,-134.12,10.983,156.08,0,70.183,140.37,-149.45,-79.27,-9.0873,61.095,131.28,-158.54,-88.357,-18.175,52.008
