-82.977000,-83.661809,-83.398501,-81.548796,-82.131460,-83.778744,-73.132781,-72.571574,-82.911791,-69.030271
-83.734181,-81.118400,-82.166678,-84.301801,-82.615666,-84.999188,-70.901808,-74.316179,-79.151897,-70.013200
-84.132348,-80.765133,-81.190426,-85.934521,-82.344599,-88.646562,-69.069680,-76.723535,-75.420794,-70.973635
-83.273163,-83.213775,-82.692256,-84.137213,-82.692256,-88.397314,-68.962143,-77.269222,-73.058033,-73.058033
-86.977406,-82.911527,-90.282283,-87.419138,-86.626265,-85.765621,-68.539689,-77.269222,-71.083331,-73.058033
-100.000000,-81.400683,-100.000000,-100.000000,-88.243313,-87.877438,-70.013200,-78.644696,-70.871077,-72.425755
-82.615666,-78.644696,-84.999188,-89.737308,-82.615666,-81.987448,-71.918167,-82.763325,-70.871077,-72.450726
-79.796484,-77.880782,-85.473140,-85.473140,-79.993731,-76.860592,-72.375979,-83.550780,-71.823566,-72.908622
-78.644696,-78.466336,-89.019054,-84.844779,-80.692888,-74.316179,-71.896475,-79.151897,-71.381070,-76.641840
-79.213675,-79.519620,-89.861637,-90.963001,-81.474739,-73.352782,-71.083331,-77.524550,-70.939791,-83.141244
-82.166678,-81.118400,-85.794251,-100.000000,-81.987448,-74.357493,-71.891064,-77.957877,-68.894015,-80.471646
-89.179745,-83.626768,-82.705472,-85.794251,-80.965753,-73.796086,-73.516352,-77.957877,-67.431261,-75.843859
-89.179745,-83.251442,-83.138667,-83.251442,-80.062403,-70.871077,-75.843859,-76.641840,-67.843714,-74.852949
-84.844779,-81.543692,-84.999188,-82.166678,-83.667410,-68.997668,-79.451085,-75.348404,-68.894015,-76.127867
-84.204125,-80.530823,-88.723950,-80.693107,-90.185205,-68.140844,-81.987448,-71.918167,-71.518607,-78.644696
-89.769292,-81.564678,-100.000000,-79.842523,-84.999188,-67.953191,-78.933630,-70.871077,-73.829860,-80.062403
-100.000000,-82.760982,-87.333236,-82.760982,-82.689092,-68.825887,-76.560144,-69.946673,-75.525243,-79.993731
-91.005177,-81.252569,-82.462487,-88.879834,-90.281681,-71.750657,-79.303616,-69.713660,-75.447462,-77.293919
-83.904384,-81.252569,-80.334304,-87.800285,-80.666535,-71.094334,-82.013499,-70.231482,-75.447462,-76.478449
-83.576039,-82.266206,-80.549055,-81.564511,-75.447462,-70.733648,-76.478449,-69.704811,-77.803579,-78.489029
-86.449045,-85.473140,-83.980372,-81.046374,-73.721872,-69.343688,-73.204353,-68.925656,-83.655110,-100.000000
-88.028772,-81.471666,-85.637418,-81.326626,-72.352846,-70.292368,-73.721872,-68.407927,-83.655110,-77.880782
-86.308775,-80.549055,-83.605504,-79.314014,-73.647657,-73.367033,-77.293919,-67.821521,-76.478449,-72.263629
-86.308775,-80.743548,-87.751625,-77.803579,-73.647657,-75.972304,-80.817639,-66.778114,-74.165352,-69.277925
-87.179915,-81.399640,-88.248852,-79.515816,-70.231482,-78.400296,-77.981829,-67.821521,-74.212713,-68.757759
-87.179915,-82.688417,-82.013499,-80.549055,-68.233143,-80.549055,-75.203624,-68.757759,-77.293919,-67.708527
-85.590690,-84.776987,-80.123763,-78.820282,-67.821521,-84.024221,-73.367033,-69.880147,-80.141883,-68.342046
-88.858891,-82.122429,-80.549055,-79.077890,-68.342046,-83.904384,-71.753635,-71.768672,-82.688417,-68.853644
-83.045199,-80.743548,-84.500142,-82.250225,-71.750657,-82.907748,-71.768672,-73.669137,-91.673978,-70.223654
